timestamp,program,background,song_title,song_artist,taste_text,"In a sentence, describe how this song makes you feel .1",participant_id,background_list
8/10/2026 22:22:19,MS in DS,Art,Oil and Water,Incubus,missing the old days,missing the old days,pe579edf8,['Art']
8/10/2026 22:23:34,Faculty,Math,Home,Myles Smith,"hopeful, happy, and seen","hopeful, happy, and seen",p5b871c05,['Math']
8/10/2026 22:24:28,CHIP PhD,Physics,Hark the Sound,UNC,excited and proud,excited and proud,p84177e46,['Physics']
8/10/2026 22:44:40,Staff,Economics,Rolling in the Deep,Adele,"Nostalgic, empowered, it gives me power when singing the chorus","Nostalgic, empowered, it gives me power when singing the chorus",p0571e9e4,['Economics']
8/10/2026 22:46:01,Faculty,Computer Science,Under Pressure,Queen and David Bowie,feel like dancing and ignoring problems,feel like dancing and ignoring problems,p05c21256,['Computer Science']
8/10/2026 22:49:54,MS in LS,English,Gangsta'a Paradise,Coolio,empowered,empowered,p482b6811,['English']
8/11/2026 0:08:12,PhD in DS,Statistics,Otherside,Red Hot Chili Peppers,"Relaxed, thoughtful, and hopeful","Relaxed, thoughtful, and hopeful",pd329f093,['Statistics']
8/11/2026 9:34:47,CHIP MS,Biology,Red,Taylor swift,Beautiful,Beautiful ,pb8848510,['Biology']
8/11/2026 9:35:02,Faculty,Biology ,Haircut,Noah Kahan,Light,Light,pae445c68,['Biology']
8/11/2026 9:35:17,PhD in ILS,History of Medicine,Conceited,Lola Young,Confident,Confident,pe0633942,['History of Medicine']
8/11/2026 9:35:26,MS in LS,English and Religious Studies,Amarillo By Morning,George Strait,Like I’m driving on the highway with my dad,Like I’m driving on the highway with my dad ,peafd92a6,"['English', 'Religious Studies']"
8/11/2026 9:35:27,CHIP MS,My undergraduate major is medical information engineering ~~,Butterfly,David Tao,Very encouraging,Very encouraging ,pd72b1795,['My undergraduate major is medical information engineering ~~']
8/11/2026 9:35:29,MS in LS,History Major/Philosophy Minor,Little Dancer,Elton John,Nostalgic,Nostalgic ,pdbdb9c87,['History Major/Philosophy Minor']
8/11/2026 9:35:34,Faculty,Political Science,Virgen de La Candelaria,Andrés Landero,Home,Home,pe28a7675,['Political Science']
8/11/2026 9:35:35,MS in LS,Theatre & minor in creative writing,Take My Hand,Simple Plan,Happy,Happy,p69d760ff,['Theatre & minor in creative writing']
8/11/2026 9:35:41,PhD in ILS,CS + Math,London Song,Ninajirachi,"Energized, ecstatic","Energized, ecstatic",pc1c9e78d,['CS + Math']
8/11/2026 9:35:43,MS in LS,BA in History & Journalism ,Synchronicity I,The Police,Wow!,Wow! ,p64c35f70,['BA in History & Journalism']
8/11/2026 9:35:45,CHIP MS,Biology at University of South Carolina ,Warm safe place,Staind,Good,Good,pcfd7dd0f,['Biology at University of South Carolina']
8/11/2026 9:35:51,CHIP MS,Bachelor's in Nursing,Don't Tell on Me,Jason Aldean,At home,At home,pf6dc5d9e,"[""Bachelor's in Nursing""]"
8/11/2026 9:35:55,MS in IS,Sociology Anthropology And Data Science,Sara perche ti amo,Ricchi E Poveri,Happy and energetic,Happy and energetic ,p8d2e58fe,"['Sociology Anthropology', 'Data Science']"
8/11/2026 9:36:04,MS in LS,"Consumer, apparel, and retail studies",Fantasy,Mariah Carey,This song makes me feel energetic,This song makes me feel energetic ,pb6981b7c,"['Consumer', 'apparel', 'retail studies']"
8/11/2026 9:36:12,PhD in DS,Major in Economics and minor in CS,Prokofiev Piano Concerto No.3,Lang lang,"Energetic, motivated","Energetic, motivated",p6d59b588,"['Major in Economics', 'minor in CS']"
8/11/2026 9:36:13,CHIP MS,Telecommunication engineering ,Peaches,Justin Bieber,Peace,Peace,pb99f3eea,['Telecommunication engineering']
8/11/2026 9:36:18,MS in IS,Graphics Communications,Through the Fire,Chaka Khan,Energetic,Energetic ,p9fd96d48,['Graphics Communications']
8/11/2026 9:36:24,MS in LS,BA in History,Expectations,Olivia Rodrigo,Makes me want to dance,Makes me want to dance,p50b5ff8f,['BA in History']
8/11/2026 9:36:28,MS in LS,BA in English Literary and Cultural Studies and Linguistics,Santa Monica,Everclear,Energized,Energized,p511a2610,"['BA in English Literary', 'Cultural Studies', 'Linguistics']"
8/11/2026 9:36:30,PhD in ILS,"LIS, PSYC, STAT",360,Charli xcx,Activating,Activating ,p679f80c4,"['LIS', 'PSYC', 'STAT']"
8/11/2026 9:36:32,MS in LS,Religious Studies,El Chico Del Apartamento 512,Selena,Optimistic and playful!,Optimistic and playful!,p880c5a52,['Religious Studies']
8/11/2026 9:36:34,MS in LS,"Bachelors of Art in Mathematics and Creative Writing, at Warren Wilson College, 2017",gwen stefani,waterparks,fun!,fun!,p824e8ba2,"['Bachelors of Art in Mathematics', 'Creative Writing', 'at Warren Wilson College', '2017']"
8/11/2026 9:36:36,MS in DS,BA in Data Science at UNC Chapel Hill,Loser,I am not sure who the singer is but I just watched the Spider-Man: Brand New Day movie and it was as a song that stuck out from there.,It somehow makes me feel as though someone is comforting me on my toughest days.,It somehow makes me feel as though someone is comforting me on my toughest days. ,paa487209,['BA in Data Science at UNC Chapel Hill']
8/11/2026 9:36:37,MS in DS,UNC BS in Math,Tommy’s Party,Peach Pit,This song makes me feel soothed and at ease.,This song makes me feel soothed and at ease.,p9bbc09d0,['UNC BS in Math']
8/11/2026 9:36:39,PhD in DS,Geophysics,Sweet Baby James,James Taylor,Relaxed,Relaxed,pcf9cd829,['Geophysics']
8/11/2026 9:36:41,MS in DS,Biology and psychology at UNC,Midnight in Harlem,Tedeschi Trucks Band,Calm and grounded,Calm and grounded,pa58ce906,"['Biology', 'psychology at UNC']"
8/11/2026 9:36:43,MS in LS,Bachelor’s in English from App State,Good Luck Babe!,Chappell Roan,It brings the good vibes,It brings the good vibes,p3744e0fd,['Bachelor’s in English from App State']
8/11/2026 9:36:46,MS in DS,BS in Statistics and Data Science from UCSB,CIEL,GIMS,It makes me feel connected to something bigger than myself.,It makes me feel connected to something bigger than myself.,p029faade,"['BS in Statistics', 'Data Science from UCSB']"
8/11/2026 9:36:49,MS in LS,BA in English/Philosophy at Northeastern,It’s My House,Diana Ross,"I just moved here, and this song plays in my head whenever I have the feeling that this is truly my new home.","I just moved here, and this song plays in my head whenever I have the feeling that this is truly my new home. ",ped090308,['BA in English/Philosophy at Northeastern']
8/11/2026 9:36:51,CHIP MS,Biological Sciences at UNC Charlotte,A Couple Minutes,Olivia Dean,It makes me feel happy.,It makes me feel happy.,p414cedb7,['Biological Sciences at UNC Charlotte']
8/11/2026 9:36:55,MS in LS,English & Comparative Literature ,What I Am,Edie Brickell & New Bohemians,Like the angsty lead in a 90’s/early 2000’s coming of age movie,Like the angsty lead in a 90’s/early 2000’s coming of age movie ,pe969651f,['English & Comparative Literature']
8/11/2026 9:36:56,MS in LS,Business Administration - Marketing ,Walk of Fame,Miley Cyrus,Strong/Empowered,Strong/Empowered,p0ca1890d,['Business Administration - Marketing']
8/11/2026 9:36:59,Faculty,CS,Mirror,Jeff Tweedy,Relaxed,Relaxed,p2b783689,['CS']
8/11/2026 9:37:01,MS in DS,Computer Science and Mathematics ,Are You Satisfied?,Marina and the Diamonds,Am I making the right decisions?,Am I making the right decisions? ,p0eeaa6e5,"['Computer Science', 'Mathematics']"
8/11/2026 9:37:04,Faculty,philosophy ,Ooh child (things are going to go easier),The Five Stairsteps,Thoughtful,Thoughtful,pa92e838f,['philosophy']
8/11/2026 9:37:05,Staff,Education,Choosin’ Texas,Ella Langley,Bittersweet,Bittersweet,p0c226c57,['Education']
8/11/2026 9:37:06,MS in LS,English/Spanish,Detonator,Detox Unit,"Wobbly, funky, bouncy and silly","Wobbly, funky, bouncy and silly",pc575b56b,['English/Spanish']
8/11/2026 9:37:08,CHIP MS,Microbiology,The Let Out,J. Cole,It’s a good driving song and hypes me up.,It’s a good driving song and hypes me up. ,p72fafbaa,['Microbiology']
8/11/2026 9:37:21,PhD in ILS,Economics,Joyride,Kesha,Energized and pumped up,Energized and pumped up,p5e7cddbb,['Economics']
8/11/2026 9:37:22,MS in LS,Psychology and Studio Art,Human Being,Anna Vaus,"Reassured, calmed, seen","Reassured, calmed, seen ",p485c0ff8,"['Psychology', 'Studio Art']"
8/11/2026 9:37:26,MS in IS,Computer Science and Information Science,Heat Waves,Glass Animals,"It makes me feel nostalgic for when I used to drive around and listen to it with my best friend (who moved away), but also happy.","It makes me feel nostalgic for when I used to drive around and listen to it with my best friend (who moved away), but also happy.",p40befc22,"['Computer Science', 'Information Science']"
8/11/2026 9:37:35,MS in LS,"English, Secondary Education ",Loser,Tame Impala,Like life can throw obstacles at you but persevere is key,Like life can throw obstacles at you but persevere is key,p130cc6aa,"['English', 'Secondary Education']"
8/11/2026 9:37:37,MS in LS,History,Disco Snails,Vulfmon,"Funky, silly, & ready to disco","Funky, silly, & ready to disco",p3cf7aa17,['History']
8/11/2026 9:37:38,MS in LS,History at Amherst College ,OLD TECHNOLOGY,Slayyyter,It makes me feel raucous and gnarly and electric.,It makes me feel raucous and gnarly and electric.,p64ad0e27,['History at Amherst College']
8/11/2026 9:37:39,CHIP MS,"Pre med undergrad (many years ago), I’m a current 5th year neurosurgery resident",Conquer the World,The Dreggs,Light and happy,Light and happy,pf921f4cc,"['Pre med undergrad (many years ago)', 'I’m a current 5th year neurosurgery resident']"
8/11/2026 9:37:43,CHIP MS,Exercise and Sports Science ,Saltwater,Geowulf,Warm and summery,Warm and summery,p7aedccee,"['Exercise', 'Sports Science']"
8/11/2026 9:37:44,MS in LS,Business Marketing,Hanging Out to Dry,Florence Road,This song makes me feel refreshed and energized,This song makes me feel refreshed and energized ,p0cd1a4f6,['Business Marketing']
8/11/2026 9:37:46,CHIP MS,"Biomedical sciences major, Anthropology minor",Losing You,Solange,Feels like a fresh start,Feels like a fresh start,p8eea3ef8,"['Biomedical sciences major', 'Anthropology minor']"
8/11/2026 9:37:50,MS in LS,3D Digital Graphics and Psychology of Human Interaction,Carry on Wayward Son,Kansas,"Awake, ready to take on the world, and a little ridiculous","Awake, ready to take on the world, and a little ridiculous",p58e19ff5,"['3D Digital Graphics', 'Psychology of Human Interaction']"
8/11/2026 9:37:53,CHIP MS,Bachelor in Health Informatics at Nova Southeastern University ,Self Aware,Temper City,If makes me feel like I am going with the flow,If makes me feel like I am going with the flow,p3b10ff06,['Bachelor in Health Informatics at Nova Southeastern University']
8/11/2026 9:37:54,MS in LS,Media Studies,happens,Elbi Lewes,Forlorn,Forlorn,p0e3cc79f,['Media Studies']
8/11/2026 9:37:55,MS in IS,Gender Studies and Biology,I Follow You,Melody Echo Chamber,"Lightweight, ethereal, floaty","Lightweight, ethereal, floaty",p0bbad405,"['Gender Studies', 'Biology']"
8/11/2026 9:37:57,MS in LS,History at YSU,Old Religion,Florence and the Machine,Nostalgic and powerful,Nostalgic and powerful,p20cc4ae4,['History at YSU']
8/11/2026 9:37:59,Faculty,Electrical Engineering ,Free Bird,Lynard!,Happy!,Happy! ,p0734f0b8,['Electrical Engineering']
8/11/2026 9:38:00,MS in LS,"BA Anthropology and Educational Studies, Macalester College",Heya,Clozee,Like I want to dance,Like I want to dance,pc307eef5,"['BA Anthropology', 'Educational Studies', 'Macalester College']"
8/11/2026 9:38:06,MS in LS,Studio Art and Education ,Patience,Tame Impala,Nostalgic,Nostalgic ,p1151fc59,"['Studio Art', 'Education']"
8/11/2026 9:38:11,MS in LS,"William & Mary, English",Andromeda,Weyes Blood,alien,alien,pb1287bf7,"['William & Mary', 'English']"
8/11/2026 9:38:12,MS in LS,History & Poli-Sci,Own Little World,Celldweller,Pumped up,Pumped up,p167ac088,['History & Poli-Sci']
8/11/2026 9:38:20,MS in LS,BA in English,Francis Forever,Mitski,This songs feels like laying in the sun on a warm summer day.,This songs feels like laying in the sun on a warm summer day.,p67eb4144,['BA in English']
