timestamp,program,background,song_title,song_artist,taste_text,genres,participant_id,genres_list,background_list
8/10/2026 22:22:19,MS in DS,Art,Oil and Water,Incubus,missing the old days,"Classical, Hip-hop, Latin",pe579edf8,"['Classical', 'Hip-hop', 'Latin']",['Art']
8/10/2026 22:23:34,Faculty,Math,Home,Myles Smith,"hopeful, happy, and seen","Indie Rock, R&B",p5b871c05,"['Indie Rock', 'R&B']",['Math']
8/10/2026 22:24:28,CHIP PhD,Physics,Hark the Sound,UNC,excited and proud,Pop,p84177e46,['Pop'],['Physics']
8/10/2026 22:44:40,Staff,Economics,Rolling in the Deep,Adele,"Nostalgic, empowered, it gives me power when singing the chorus","Pop, Indie Rock, R&B",p0571e9e4,"['Pop', 'Indie Rock', 'R&B']",['Economics']
8/10/2026 22:46:01,Faculty,Computer Science,Under Pressure,Queen and David Bowie,feel like dancing and ignoring problems,Indie Rock,p05c21256,['Indie Rock'],['Computer Science']
8/10/2026 22:49:54,MS in LS,English,Gangsta'a Paradise,Coolio,empowered,Hip-hop,p482b6811,['Hip-hop'],['English']
8/11/2026 0:08:12,PhD in DS,Statistics,Otherside,Red Hot Chili Peppers,"Relaxed, thoughtful, and hopeful",Rock,pd329f093,['Rock'],['Statistics']
8/11/2026 9:34:47,CHIP MS,Biology,Red,Taylor swift,Beautiful,"Pop, Folk, R&B, Hip-hop",pb8848510,"['Pop', 'Folk', 'R&B', 'Hip-hop']",['Biology']
8/11/2026 9:35:02,Faculty,Biology ,Haircut,Noah Kahan,Light,"Pop, Indie Rock",pae445c68,"['Pop', 'Indie Rock']",['Biology']
8/11/2026 9:35:17,PhD in ILS,History of Medicine,Conceited,Lola Young,Confident,Other,pe0633942,['Other'],['History of Medicine']
8/11/2026 9:35:26,MS in LS,English and Religious Studies,Amarillo By Morning,George Strait,Like I’m driving on the highway with my dad,"Pop, Folk, Indie Rock, Country, Rock",peafd92a6,"['Pop', 'Folk', 'Indie Rock', 'Country', 'Rock']","['English', 'Religious Studies']"
8/11/2026 9:35:27,CHIP MS,My undergraduate major is medical information engineering ~~,Butterfly,David Tao,Very encouraging,"Pop, Classical, R&B",pd72b1795,"['Pop', 'Classical', 'R&B']",['My undergraduate major is medical information engineering ~~']
8/11/2026 9:35:29,MS in LS,History Major/Philosophy Minor,Little Dancer,Elton John,Nostalgic,"Pop, Folk, Country, Rock",pdbdb9c87,"['Pop', 'Folk', 'Country', 'Rock']",['History Major/Philosophy Minor']
8/11/2026 9:35:34,Faculty,Political Science,Virgen de La Candelaria,Andrés Landero,Home,"Folk, Latin",pe28a7675,"['Folk', 'Latin']",['Political Science']
8/11/2026 9:35:35,MS in LS,Theatre & minor in creative writing,Take My Hand,Simple Plan,Happy,"Pop, Electronic, Rock, Other",p69d760ff,"['Pop', 'Electronic', 'Rock', 'Other']",['Theatre & minor in creative writing']
8/11/2026 9:35:41,PhD in ILS,CS + Math,London Song,Ninajirachi,"Energized, ecstatic","Electronic, Other",pc1c9e78d,"['Electronic', 'Other']",['CS + Math']
8/11/2026 9:35:43,MS in LS,BA in History & Journalism ,Synchronicity I,The Police,Wow!,Rock,p64c35f70,['Rock'],['BA in History & Journalism']
8/11/2026 9:35:45,CHIP MS,Biology at University of South Carolina ,Warm safe place,Staind,Good,"Jazz, Indie Rock, R&B, Hip-hop, Rock",pcfd7dd0f,"['Jazz', 'Indie Rock', 'R&B', 'Hip-hop', 'Rock']",['Biology at University of South Carolina']
8/11/2026 9:35:51,CHIP MS,Bachelor's in Nursing,Don't Tell on Me,Jason Aldean,At home,"Pop, Metal, Classical, Folk, Reggaeton, Indie Rock, Country, Rock",pf6dc5d9e,"['Pop', 'Metal', 'Classical', 'Folk', 'Reggaeton', 'Indie Rock', 'Country', 'Rock']","[""Bachelor's in Nursing""]"
8/11/2026 9:35:55,MS in IS,Sociology Anthropology And Data Science,Sara perche ti amo,Ricchi E Poveri,Happy and energetic,Pop,p8d2e58fe,['Pop'],"['Sociology Anthropology', 'Data Science']"
8/11/2026 9:36:04,MS in LS,"Consumer, apparel, and retail studies",Fantasy,Mariah Carey,This song makes me feel energetic,"Pop, Indie Rock, R&B, Rock",pb6981b7c,"['Pop', 'Indie Rock', 'R&B', 'Rock']","['Consumer', 'apparel', 'retail studies']"
8/11/2026 9:36:12,PhD in DS,Major in Economics and minor in CS,Prokofiev Piano Concerto No.3,Lang lang,"Energetic, motivated","Pop, Classical, Rock",p6d59b588,"['Pop', 'Classical', 'Rock']","['Major in Economics', 'minor in CS']"
8/11/2026 9:36:13,CHIP MS,Telecommunication engineering ,Peaches,Justin Bieber,Peace,"R&B, Hip-hop",pb99f3eea,"['R&B', 'Hip-hop']",['Telecommunication engineering']
8/11/2026 9:36:18,MS in IS,Graphics Communications,Through the Fire,Chaka Khan,Energetic,R&B,p9fd96d48,['R&B'],['Graphics Communications']
8/11/2026 9:36:24,MS in LS,BA in History,Expectations,Olivia Rodrigo,Makes me want to dance,"Pop, Folk, Indie Rock, Country, Rock",p50b5ff8f,"['Pop', 'Folk', 'Indie Rock', 'Country', 'Rock']",['BA in History']
8/11/2026 9:36:28,MS in LS,BA in English Literary and Cultural Studies and Linguistics,Santa Monica,Everclear,Energized,"Metal, Indie Rock, R&B, Latin, Rock",p511a2610,"['Metal', 'Indie Rock', 'R&B', 'Latin', 'Rock']","['BA in English Literary', 'Cultural Studies', 'Linguistics']"
8/11/2026 9:36:30,PhD in ILS,"LIS, PSYC, STAT",360,Charli xcx,Activating,"Pop, Electronic, Hip-hop",p679f80c4,"['Pop', 'Electronic', 'Hip-hop']","['LIS', 'PSYC', 'STAT']"
8/11/2026 9:36:32,MS in LS,Religious Studies,El Chico Del Apartamento 512,Selena,Optimistic and playful!,"Pop, Indie Rock, Latin, Other",p880c5a52,"['Pop', 'Indie Rock', 'Latin', 'Other']",['Religious Studies']
8/11/2026 9:36:34,MS in LS,"Bachelors of Art in Mathematics and Creative Writing, at Warren Wilson College, 2017",gwen stefani,waterparks,fun!,"Pop, Rock",p824e8ba2,"['Pop', 'Rock']","['Bachelors of Art in Mathematics', 'Creative Writing', 'at Warren Wilson College', '2017']"
8/11/2026 9:36:36,MS in DS,BA in Data Science at UNC Chapel Hill,Loser,I am not sure who the singer is but I just watched the Spider-Man: Brand New Day movie and it was as a song that stuck out from there.,It somehow makes me feel as though someone is comforting me on my toughest days.,"Pop, Other",paa487209,"['Pop', 'Other']",['BA in Data Science at UNC Chapel Hill']
8/11/2026 9:36:37,MS in DS,UNC BS in Math,Tommy’s Party,Peach Pit,This song makes me feel soothed and at ease.,"Pop, Indie Rock",p9bbc09d0,"['Pop', 'Indie Rock']",['UNC BS in Math']
8/11/2026 9:36:39,PhD in DS,Geophysics,Sweet Baby James,James Taylor,Relaxed,"Classical, Country",pcf9cd829,"['Classical', 'Country']",['Geophysics']
8/11/2026 9:36:41,MS in DS,Biology and psychology at UNC,Midnight in Harlem,Tedeschi Trucks Band,Calm and grounded,"Jazz, Reggaeton, Indie Rock",pa58ce906,"['Jazz', 'Reggaeton', 'Indie Rock']","['Biology', 'psychology at UNC']"
8/11/2026 9:36:43,MS in LS,Bachelor’s in English from App State,Good Luck Babe!,Chappell Roan,It brings the good vibes,"Pop, Folk",p3744e0fd,"['Pop', 'Folk']",['Bachelor’s in English from App State']
8/11/2026 9:36:46,MS in DS,BS in Statistics and Data Science from UCSB,CIEL,GIMS,It makes me feel connected to something bigger than myself.,"Pop, Indie Rock, Rock",p029faade,"['Pop', 'Indie Rock', 'Rock']","['BS in Statistics', 'Data Science from UCSB']"
8/11/2026 9:36:49,MS in LS,BA in English/Philosophy at Northeastern,It’s My House,Diana Ross,"I just moved here, and this song plays in my head whenever I have the feeling that this is truly my new home.","Pop, Folk, Jazz, Indie Rock",ped090308,"['Pop', 'Folk', 'Jazz', 'Indie Rock']",['BA in English/Philosophy at Northeastern']
8/11/2026 9:36:51,CHIP MS,Biological Sciences at UNC Charlotte,A Couple Minutes,Olivia Dean,It makes me feel happy.,"Pop, R&B, Hip-hop",p414cedb7,"['Pop', 'R&B', 'Hip-hop']",['Biological Sciences at UNC Charlotte']
8/11/2026 9:36:55,MS in LS,English & Comparative Literature ,What I Am,Edie Brickell & New Bohemians,Like the angsty lead in a 90’s/early 2000’s coming of age movie,"Pop, Classical, Jazz, Indie Rock, Rock",pe969651f,"['Pop', 'Classical', 'Jazz', 'Indie Rock', 'Rock']",['English & Comparative Literature']
8/11/2026 9:36:56,MS in LS,Business Administration - Marketing ,Walk of Fame,Miley Cyrus,Strong/Empowered,"Pop, Folk, Indie Rock, Country, Rock",p0ca1890d,"['Pop', 'Folk', 'Indie Rock', 'Country', 'Rock']",['Business Administration - Marketing']
8/11/2026 9:36:59,Faculty,CS,Mirror,Jeff Tweedy,Relaxed,Rock,p2b783689,['Rock'],['CS']
8/11/2026 9:37:01,MS in DS,Computer Science and Mathematics ,Are You Satisfied?,Marina and the Diamonds,Am I making the right decisions?,"Pop, Metal, Jazz, Indie Rock, Hip-hop, Rock",p0eeaa6e5,"['Pop', 'Metal', 'Jazz', 'Indie Rock', 'Hip-hop', 'Rock']","['Computer Science', 'Mathematics']"
8/11/2026 9:37:04,Faculty,philosophy ,Ooh child (things are going to go easier),The Five Stairsteps,Thoughtful,"Pop, Metal, Classical, Folk, Jazz, Electronic, Reggaeton, Indie Rock, R&B, Country, Hip-hop, Latin, Rock, Other",pa92e838f,"['Pop', 'Metal', 'Classical', 'Folk', 'Jazz', 'Electronic', 'Reggaeton', 'Indie Rock', 'R&B', 'Country', 'Hip-hop', 'Latin', 'Rock', 'Other']",['philosophy']
8/11/2026 9:37:05,Staff,Education,Choosin’ Texas,Ella Langley,Bittersweet,Country,p0c226c57,['Country'],['Education']
8/11/2026 9:37:06,MS in LS,English/Spanish,Detonator,Detox Unit,"Wobbly, funky, bouncy and silly","Electronic, Latin, Other",pc575b56b,"['Electronic', 'Latin', 'Other']",['English/Spanish']
8/11/2026 9:37:08,CHIP MS,Microbiology,The Let Out,J. Cole,It’s a good driving song and hypes me up.,"Pop, Indie Rock, R&B, Hip-hop",p72fafbaa,"['Pop', 'Indie Rock', 'R&B', 'Hip-hop']",['Microbiology']
